Prompt_ID,Conversation,Output_IDs,Prompt_Type,Source_Reported_Status,Prompt_Page,Original_SHA256,Display_Check
D1-U01,D1,01; C1,최초 실행,직접 사용 확인,prompts/D1_part1.md#d1-u01,ebbeef7820a6df2da3758e6cf89020f050441c4a0bbff825fed636f07c4d033c,EXACT
D1-U02,D1,02; C1,최초 실행,직접 사용 확인,prompts/D1_part1.md#d1-u02,9930f4f7184472d0baa03a48cfe10964a2747ba5fca440b9b51161c766737c53,EXACT
D1-U03,D1,03; C1,최초 실행,직접 사용 확인,prompts/D1_part1.md#d1-u03,3a94d94e096ec3df681d4c3dd1bd40d6fe46859e8d1a62100f1be96d375d5b0a,EXACT
D1-U04,D1,04; C1,최초 실행,직접 사용 확인,prompts/D1_part1.md#d1-u04,1e042aeca14ffddf48af797d958b6b3a4d0c4bc1cc6ac83f60c4029e35afdbcd,TERMINAL_NEWLINE_ONLY
D1-U05,D1,04,최초 실행,직접 사용 확인,prompts/D1_part1.md#d1-u05,21e57b185adb2213e84e4ea3a9d01ec666de78bdcfa893b5a95d9e9e5ea9f052,EXACT
D1-U06,D1,04; C2,배치 재개,직접 사용 확인,prompts/D1_part1.md#d1-u06,31fbef162594de01bab0cd525c51f74de7bcb15063029fa1a54b2cf5944c80d8,EXACT
D1-U07,D1,04; C3,추가 조건,관련 있으나 사용 불확실,prompts/D1_part1.md#d1-u07,6259efbfe1eaa773a2f1a8e134c35c3f4457dd964e40d77338b5ef32c2d87c81,EXACT
D1-U08,D1,04; C2,배치 재개,관련 있으나 사용 불확실,prompts/D1_part1.md#d1-u08,5f51f6d9ee888eebf994a71c77c33350017eeace3c97568064cb8323e138341a,EXACT
D1-U09,D1,04,추가 조건,관련 있으나 사용 불확실,prompts/D1_part1.md#d1-u09,49815b1d030c85987ebbfb7a0a90f77cea6d9313336b13e4852c4aa4df8a94b9,EXACT
D1-U10,D1,04; C3,오류 수정,직접 사용 확인,prompts/D1_part1.md#d1-u10,1e1a5be0ce1380faf5abd7f96f4a9193a66589b64a6e1cafaeae2f7e648222e6,EXACT
D1-U11,D1,04; C3,재실행,수정에 사용 확인,prompts/D1_part2a.md#d1-u11,004f80c901773f8ba513b12ca30dd075621664a15926c5a3f22e09c3c927bf28,EXACT
D1-U12,D1,05; 06; C1; C3,재검토,관련 있으나 사용 불확실,prompts/D1_part2a.md#d1-u12,fcd9d76ba212d300f46a36c6129c090e06ff22f579e7d7e276322b07771a9cc0,EXACT
D1-U13,D1,05; 06; C1; C3,재검토,수정에 사용 확인,prompts/D1_part2a.md#d1-u13,f0edfa8b116e59205c4d153559d62f860e6fa65408a0691c38dc8451ea22b975,EXACT
